annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 1], [4, 93, 1], [1, 119, 9], [4, 378, 2], [5, 428, 8], [6, 707, 1], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; history:93/7; pathophysiology:119/9; history:378/2; physical:428/8; exams:707/7; history:743/1; exams:772/3,3,0.390625,-0.5,"{'pathophysiology': 9, 'epidemiology': 1, 'etiology': 0, 'history': 4, 'physical': 8, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",9,1,0,4,8,4,0,0,5,8,8,6.85,2,2,5,1,2,2,1,0,2,2,5,1,2,2,6,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 423, 2], [1, 465, 1], [8, 502, 7]]",epidemiology:57/1; history:109/2; physical:272/3; pathophysiology:311/5; physical:339/1; pathophysiology:365/1; exams:423/2; pathophysiology:465/1; therapeutic:502/7,3,0.5,-0.42105263157894735,"{'pathophysiology': 3, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",3,1,0,2,2,2,0,7,6,9,9,8.9,2,2,7,1,2,2,5,2,2,2,7,1,2,2,6,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [2, 62, 2], [4, 141, 1], [8, 187, 1], [2, 240, 1], [4, 240, 2], [1, 308, 5], [5, 477, 2], [6, 507, 1], [5, 523, 2], [6, 579, 1], [1, 623, 2], [8, 669, 3]]",pathophysiology:2/15; epidemiology:62/4; history:141/5; therapeutic:187/7; epidemiology:240/1; history:240/2; pathophysiology:308/5; physical:477/6; exams:507/3; physical:523/2; exams:579/1; pathophysiology:623/2; therapeutic:669/3,7,0.34615384615384615,-0.21333333333333335,"{'pathophysiology': 8, 'epidemiology': 3, 'etiology': 0, 'history': 3, 'physical': 4, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 6, 'total annotations': 13, 'ideas': 12}",8,3,0,3,4,2,0,4,6,13,12,8.1,2,2,6,1,2,2,6,2,2,2,6,2,2,2,8,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[3, 54, 1], [1, 64, 6]]",etiology:54/1; pathophysiology:64/6,0,0.25,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",6,0,1,0,0,0,0,0,2,2,2,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 1], [1, 146, 1], [8, 201, 3]]",pathophysiology:41/3; exams:129/1; pathophysiology:146/1; therapeutic:201/3,1,0.28125,-1.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",2,0,0,0,0,1,0,3,3,4,4,5.15,1,1,0,0,2,2,0,0,0,0,0,0,2,2,3,2,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[4, 13, 1], [1, 42, 1], [3, 65, 2], [8, 172, 1], [5, 243, 2]]",history:13/1; pathophysiology:42/1; etiology:65/2; therapeutic:172/1; physical:243/2,0,0.625,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 1, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,0,2,1,2,0,0,1,5,5,5,4.45,1,1,1,0,1,1,2,0,1,1,0,0,1,1,4,1,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 84, 1], [8, 100, 3], [6, 176, 2], [8, 228, 2], [6, 292, 1], [4, 315, 1], [8, 368, 1], [6, 394, 1], [4, 415, 1], [8, 454, 1], [4, 472, 3], [8, 571, 4], [6, 697, 1], [4, 729, 1], [8, 758, 3], [2, 845, 1], [3, 890, 1], [8, 927, 2]]",pathophysiology:10/1; etiology:84/3; therapeutic:100/21; exams:176/8; therapeutic:228/2; exams:292/1; history:315/11; therapeutic:368/1; exams:394/1; history:415/1; therapeutic:454/1; history:472/3; therapeutic:571/4; exams:697/1; history:729/1; therapeutic:758/3; epidemiology:845/1; etiology:890/1; therapeutic:927/2,11,0.3157894736842105,-0.37988826815642446,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 2, 'history': 6, 'physical': 0, 'exams': 5, 'differential': 0, 'therapeutic': 16, 'used categories': 6, 'total annotations': 19, 'ideas': 19}",1,1,2,6,0,5,0,16,6,19,19,8.7,1,1,8,2,2,2,8,2,2,2,8,2,2,2,7,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 29, 1], [4, 71, 2], [6, 150, 1], [1, 188, 1], [8, 209, 5], [4, 363, 1], [7, 390, 2]]",epidemiology:29/1; history:71/4; exams:150/1; pathophysiology:188/1; therapeutic:209/5; history:363/1; differential:390/2,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 5, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",1,1,0,3,0,1,2,5,6,7,7,6.2,2,2,2,1,2,2,2,0,2,2,2,1,2,2,8,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 0, 2], [2, 83, 2], [1, 132, 1], [4, 212, 2], [6, 245, 1], [8, 335, 3]]",exams:0/4; epidemiology:83/2; pathophysiology:132/1; history:212/2; exams:245/1; therapeutic:335/3,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,2,0,2,0,3,0,3,5,6,6,6.0,2,2,2,1,2,2,2,0,1,1,2,0,2,2,6,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[4, 10, 1], [1, 52, 1], [3, 84, 2], [4, 154, 1], [6, 188, 9], [4, 406, 1], [8, 456, 3], [4, 576, 1], [1, 600, 2], [8, 680, 1]]",history:10/7; pathophysiology:52/5; etiology:84/2; history:154/1; exams:188/9; history:406/1; therapeutic:456/5; history:576/1; pathophysiology:600/2; therapeutic:680/1,5,0.3125,-0.4705882352941177,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 2, 'history': 4, 'physical': 0, 'exams': 9, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 10, 'ideas': 10}",3,0,2,4,0,9,0,4,5,10,10,7.45,1,1,4,1,2,2,4,2,2,2,4,1,2,2,8,2,5.0
